empty cell,,empty cell_rotated,,2-bromothiophene,,2-bromothiophene_2,,2-bromothiophene_3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
743.4623413,0.0592376478,743.4623413,0.06076049432,743.4623413,0.06157746166,743.4623413,0.06248483062,743.4623413,0.06438173354,
743.0369263,0.05861427635,743.0369263,0.06007012725,743.0369263,0.06161576509,743.0369263,0.06188322976,743.0369263,0.06414488703,
742.4695435,0.05888295174,742.4695435,0.06082588062,742.4695435,0.06208981201,742.4695435,0.06258734316,742.4695435,0.06412511319,
742.0439453,0.05911041796,742.0439453,0.06050130725,742.0439453,0.06175089255,742.0439453,0.06195902452,742.0439453,0.06417405605,
741.4763794,0.05822382867,741.4763794,0.0603759326,741.4763794,0.06135224923,741.4763794,0.06231146306,741.4763794,0.06415145844,
741.0506592,0.05867326632,741.0506592,0.06041707471,741.0506592,0.06169533357,741.0506592,0.06236160547,741.0506592,0.06417480856,
740.4829102,0.05931648612,740.4829102,0.06068931147,740.4829102,0.06201106682,740.4829102,0.06238428503,740.4829102,0.06427099556,
740.0570068,0.05893963575,740.0570068,0.0607477203,740.0570068,0.06174844876,740.0570068,0.06234728917,740.0570068,0.0644884184,
739.4890747,0.05864393339,739.4890747,0.06032004207,739.4890747,0.06120177731,739.4890747,0.06211433187,739.4890747,0.06418225169,
739.0629883,0.05852831155,739.0629883,0.06042487174,739.0629883,0.06163169444,739.0629883,0.06254288554,739.0629883,0.06412697583,
738.494873,0.05884693563,738.494873,0.06047753245,738.494873,0.06156878173,738.494873,0.06223297492,738.494873,0.06415827572,
738.0686646,0.05882239342,738.0686646,0.06065549701,738.0686646,0.0616546087,738.0686646,0.06224779412,738.0686646,0.06429356337,
737.5003052,0.05873629451,737.5003052,0.06030591577,737.5003052,0.0614442043,737.5003052,0.06213673204,737.5003052,0.06437155604,
736.9318237,0.05910813436,736.9318237,0.06071169674,736.9318237,0.06181389466,736.9318237,0.06222150475,736.9318237,0.06449895352,
736.5053711,0.05862894282,736.5053711,0.06055948138,736.5053711,0.06174131483,736.5053711,0.06256467849,736.5053711,0.0644217208,
735.9367065,0.05937352404,735.9367065,0.06094574928,735.9367065,0.06215238199,735.9367065,0.06248868629,735.9367065,0.06468452513,
735.5101318,0.05923746899,735.5101318,0.06094268337,735.5101318,0.06209351495,735.5101318,0.06249442324,735.5101318,0.0647810027,
734.9412842,0.05942130834,734.9412842,0.0609107241,734.9412842,0.06169709191,734.9412842,0.06235009804,734.9412842,0.06456394494,
734.5145874,0.05917342007,734.5145874,0.06038765609,734.5145874,0.0617698431,734.5145874,0.06276351213,734.5145874,0.06464159489,
733.9454956,0.05898772925,733.9454956,0.06078240648,733.9454956,0.06168241426,733.9454956,0.06237206236,733.9454956,0.06418210268,
733.5186157,0.05885879323,733.5186157,0.06094697118,733.5186157,0.06187719852,733.5186157,0.06234068796,733.5186157,0.0644621402,
732.9493408,0.05926500261,732.9493408,0.0607855916,732.9493408,0.06186042354,732.9493408,0.06265222281,732.9493408,0.0645358935,
732.5223389,0.05911388621,732.5223389,0.06079032645,732.5223389,0.06173051149,732.5223389,0.06212962419,732.5223389,0.06419899315,
731.9528809,0.0588170886,731.9528809,0.06061840802,731.9528809,0.06177718565,731.9528809,0.06218948215,731.9528809,0.0641329512,
731.5256958,0.05928624794,731.5256958,0.06085899472,731.5256958,0.06167531386,731.5256958,0.06243781373,731.5256958,0.06451001018,
730.9560547,0.05908834934,730.9560547,0.06037994847,730.9560547,0.06168295071,730.9560547,0.06223656237,730.9560547,0.06441836059,
730.5287476,0.05881403387,730.5287476,0.06083466485,730.5287476,0.06187367812,730.5287476,0.06239011511,730.5287476,0.06424323469,
729.9588623,0.05912379548,729.9588623,0.06031249091,729.9588623,0.06190400571,729.9588623,0.06242555752,729.9588623,0.06433714926,
729.5313721,0.0594086647,729.5313721,0.06065507978,729.5313721,0.06189484149,729.5313721,0.06277565658,729.5313721,0.06457623094,
728.9613647,0.0592623651,728.9613647,0.06090473756,728.9613647,0.06178542227,728.9613647,0.06263820082,728.9613647,0.06459070742,
728.5337524,0.05887316912,728.5337524,0.06038241833,728.5337524,0.06167212129,728.5337524,0.06236761063,728.5337524,0.06408074498,
727.963501,0.05906625465,727.963501,0.06064879894,727.963501,0.06184230745,727.963501,0.0622060895,727.963501,0.06438239664,
727.5357056,0.05921296403,727.5357056,0.06068871543,727.5357056,0.06204364449,727.5357056,0.06267905235,727.5357056,0.06459122151,
726.965271,0.05907076225,726.965271,0.06087409332,726.965271,0.06182633713,726.965271,0.06229162216,726.965271,0.06444517523,
726.5373535,0.05924892426,726.5373535,0.06049663574,726.5373535,0.06186636537,726.5373535,0.06247795373,726.5373535,0.06452721357,
725.9667358,0.05910116434,725.9667358,0.06056448072,725.9667358,0.0618041642,725.9667358,0.06248817593,725.9667358,0.06428351253,
725.5386963,0.05912655219,725.5386963,0.06077466533,725.5386963,0.0616863817,725.5386963,0.06217556074,725.5386963,0.06459827721,
724.9678345,0.0592209436,724.9678345,0.06051368266,724.9678345,0.06179720908,724.9678345,0.06270949543,724.9678345,0.06440331787,
724.5396118,0.05933494493,724.5396118,0.06092135608,724.5396118,0.0618188493,724.5396118,0.06241545826,724.5396118,0.06419821084,
723.9686279,0.0593906194,723.9686279,0.06041404232,723.9686279,0.06161263213,723.9686279,0.06192591786,723.9686279,0.0639527142,
723.5402222,0.05948441476,723.5402222,0.06068240479,723.5402222,0.06162524968,723.5402222,0.0624611266,723.5402222,0.06435371935,
722.9689941,0.05944740027,722.9689941,0.06074956805,722.9689941,0.06192699075,722.9689941,0.06238676608,722.9689941,0.06456097215,
722.5405273,0.05964691564,722.5405273,0.06081837416,722.5405273,0.06213153526,722.5405273,0.06255370378,722.5405273,0.06452481449,
721.9691162,0.05955724046,721.9691162,0.06056314334,721.9691162,0.06192931905,721.9691162,0.06251995265,721.9691162,0.06440085918,
721.5404663,0.05923859775,721.5404663,0.06085479632,721.5404663,0.06173546612,721.5404663,0.06227217242,721.5404663,0.06452619284,
720.9688721,0.05986726284,720.9688721,0.06073042378,720.9688721,0.06199951097,720.9688721,0.06242376566,720.9688721,0.06452976912,
720.5400391,0.05952603742,720.5400391,0.06074221432,720.5400391,0.06174140424,720.5400391,0.06244513392,720.5400391,0.06469864398,
719.9682617,0.05995950103,719.9682617,0.06088389084,719.9682617,0.06184824556,719.9682617,0.06245174259,719.9682617,0.06448021531,
719.5393066,0.05968344584,719.5393066,0.06075540185,719.5393066,0.0618417412,719.5393066,0.06254835427,719.5393066,0.06455136091,
718.9672852,0.05958776549,718.9672852,0.06054085121,718.9672852,0.06171279028,718.9672852,0.06218189374,718.9672852,0.06425793469,
718.538208,0.05990550667,718.538208,0.06077940017,718.538208,0.06185887381,718.538208,0.06273006648,718.538208,0.06446159631,
717.9660034,0.05981690437,717.9660034,0.06079705432,717.9660034,0.06196060777,717.9660034,0.06289510429,717.9660034,0.06469095498,
717.5368042,0.06002072245,717.5368042,0.06080015376,717.5368042,0.0619864352,717.5368042,0.0624958314,717.5368042,0.06451763213,
716.9644165,0.05979851633,716.9644165,0.06079604477,716.9644165,0.06185162067,716.9644165,0.06244456768,716.9644165,0.06443844736,
716.5350342,0.05986414477,716.5350342,0.06074730307,716.5350342,0.0618756488,716.5350342,0.06247595325,716.5350342,0.06443076581,
715.9624634,0.05971510708,715.9624634,0.06072473526,715.9624634,0.06184624508,715.9624634,0.06255319715,715.9624634,0.06463495642,
715.532959,0.0597977452,715.532959,0.06083931029,715.532959,0.06182932481,715.532959,0.06263455003,715.532959,0.06448946893,
714.960144,0.05992363021,714.960144,0.06086542457,714.960144,0.06175170094,714.960144,0.06273081899,714.960144,0.06444121152,
714.5305176,0.06010232121,714.5305176,0.06086477265,714.5305176,0.06215474382,714.5305176,0.06273892522,714.5305176,0.06464919448,
713.9575195,0.06004063785,713.9575195,0.06096612662,713.9575195,0.06224403158,713.9575195,0.062866956,713.9575195,0.06476534903,
713.52771,0.05990693346,713.52771,0.06051371247,713.52771,0.06168984249,713.52771,0.06261391938,713.52771,0.0644473657,
712.9545288,0.06015107781,712.9545288,0.06074176729,712.9545288,0.06192812696,712.9545288,0.06257974356,712.9545288,0.06469681114,
712.5245972,0.06020165235,712.5245972,0.06098658964,712.5245972,0.06191021577,712.5245972,0.06254028529,712.5245972,0.06456530094,
